DESTINATION,SERVICE_NAME,RATING,WEIGHTAGE,COUNT,CATEGORY,CHECK_VALUE
"Auckland, New Zealand","cafe,restaurant,food,store",3.3,0,679,Hotel,0
"Auckland, New Zealand",Albert Park,4.6,10,23,Attraction,1058
"Auckland, New Zealand",Kelly Tarlton’s Sea Life Aquarium,4.3,10,23,Attraction,989
"Auckland, New Zealand",Waiheke Island,4.6,10,16,Attraction,736
"Auckland, New Zealand",art galleries post,4.5,10,23,Attraction,1035
"Auckland, New Zealand",Greenlane suites,4.3,10,31,Attraction,1333
"Auckland, New Zealand",8AM-12PM,0,1,535,Attraction,0
"Auckland, New Zealand",4PM-8PM,0,1,535,Attraction,0
"Auckland, New Zealand",0,0,3,3864,Attraction,0
"Auckland, New Zealand",Leave Airport,0,0,3864,Attraction,0
"Auckland, New Zealand",Reach Airport,0,0,867,Attraction,0
"Auckland, New Zealand","cafe,restaurant,food,store",3.3,0,679,Hotel,0
"Mcleodganj, Himachal Pradesh, India",Bhagsu Falls,4.4,10,241,Attraction,10604
"Mcleodganj, Himachal Pradesh, India",Dharamkot,0,9,238,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Tsuglagkhang Complex,4.6,9,239,Attraction,9894.6
"Mcleodganj, Himachal Pradesh, India",Norbulingka Institute,4.6,9,226,Attraction,9356.4
"Mcleodganj, Himachal Pradesh, India",Namgyal Monastery,4.5,8,223,Attraction,8028
"Mcleodganj, Himachal Pradesh, India",futureservicedummy,0,0,2857,Attraction,0
"Mcleodganj, Himachal Pradesh, India",8AM-12PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",4PM-8PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",0,0,3,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Leave Airport,0,0,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Reach Airport,0,0,867,Attraction,0
"Mcleodganj, Himachal Pradesh, India","restaurant,food",4.3,0,4583,Hotel,0
"Mussoorie, Uttarakhand, India",Surkanda Devi Temple,4.8,9,71,Attraction,3067.2
"Mussoorie, Uttarakhand, India",Kodia Jungle,4.7,7,61,Attraction,2006.9
"Mussoorie, Uttarakhand, India",Camp Carnival Kanatal: For Camping Lovers,4.4,8,66,Attraction,2323.2
"Mussoorie, Uttarakhand, India",Hotel Pine Queen,4.3,9,1,Hotel,38.7
"Mussoorie, Uttarakhand, India",8AM-12PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",4PM-8PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",0,0,3,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Leave Airport,0,0,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Reach Airport,0,0,867,Attraction,0
"Mussoorie, Uttarakhand, India","restaurant,food",3.7,0,4583,Hotel,0
"Mumbai, Maharashtra, India", Juhu beach ,4,9,340,Attraction,12240
"Mumbai, Maharashtra, India",Siddhivinayak Temple,4.8,9,340,Attraction,14688
"Mumbai, Maharashtra, India",Haji Ali Dargah,4.4,9,336,Attraction,13305.6
"Mumbai, Maharashtra, India",Gateway of India; Mumbai,4.6,9,329,Attraction,13620.6
"Mumbai, Maharashtra, India",Prince of Wales Museum,4.5,8,188,Attraction,6768
"Mumbai, Maharashtra, India",futureservicedummy,0,0,2857,Attraction,0
"Mumbai, Maharashtra, India",8AM-12PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",4PM-8PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",0,0,3,3864,Attraction,0
"Mumbai, Maharashtra, India",Leave Airport,0,0,3864,Attraction,0
"Mumbai, Maharashtra, India",Reach Airport,0,0,867,Attraction,0
"Mumbai, Maharashtra, India","restaurant,bakery,food,health,store",4.1,0,19,Hotel,0
"Mcleodganj, Himachal Pradesh, India",Bhagsu Falls,4.4,10,241,Attraction,10604
"Mcleodganj, Himachal Pradesh, India",Dharamkot,0,9,238,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Tsuglagkhang Complex,4.6,9,239,Attraction,9894.6
"Mcleodganj, Himachal Pradesh, India",Norbulingka Institute,4.6,9,226,Attraction,9356.4
"Mcleodganj, Himachal Pradesh, India",Namgyal Monastery,4.5,8,223,Attraction,8028
"Mcleodganj, Himachal Pradesh, India",futureservicedummy,0,0,2857,Attraction,0
"Mcleodganj, Himachal Pradesh, India",8AM-12PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",4PM-8PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",0,0,3,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Leave Airport,0,0,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Reach Airport,0,0,867,Attraction,0
"Mcleodganj, Himachal Pradesh, India","restaurant,food",4.3,0,4583,Hotel,0
"Mumbai, Maharashtra, India",Gateway of India; Mumbai,4.6,9,329,Attraction,13620.6
"Mumbai, Maharashtra, India",Haji Ali Dargah,4.4,9,336,Attraction,13305.6
"Mumbai, Maharashtra, India", Juhu beach ,4,9,340,Attraction,12240
"Mumbai, Maharashtra, India",Siddhivinayak Temple,4.8,9,340,Attraction,14688
"Mumbai, Maharashtra, India",Girgaum Chowpatty,4.2,8,166,Attraction,5577.6
"Mumbai, Maharashtra, India",Elephanta Caves,4.2,9,330,Attraction,12474
"Mumbai, Maharashtra, India",8AM-12PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",4PM-8PM,0,1,535,Attraction,0
"Mumbai, Maharashtra, India",0,0,3,3864,Attraction,0
"Mumbai, Maharashtra, India",Leave Airport,0,0,3864,Attraction,0
